id,official_name,alias_name,total_leaf_node
05011,สำนักงานปลัดกระทรวงฯ,,103
05012,สำนักงานรัฐมนตรี,,5
06001,กรมวิทยาศาสตร์บริการ,['วศ.'],11
06002,จุฬาลงกรณ์มหาวิทยาลัย,,80
06003,มหาวิทยาลัยกาฬสินธุ์,,19
06004,มหาวิทยาลัยขอนแก่น,,35
06005,มหาวิทยาลัยทักษิณ,,33
06006,มหาวิทยาลัยธรรมศาสตร์,,53
06007,มหาวิทยาลัยนครพนม,,22
06008,มหาวิทยาลัยนราธิวาสราชนครินทร์,,20
06009,มหาวิทยาลัยนเรศวร,,52
06010,มหาวิทยาลัยบูรพา,,39
06011,มหาวิทยาลัยพะเยา,,19
06012,มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย,,44
06013,มหาวิทยาลัยมหามกุฏราชวิทยาลัย,,1
06014,มหาวิทยาลัยมหามกุฏราชวิทยาลัย (มมร),,12
06015,มหาวิทยาลัยมหาสารคาม,,54
06016,มหาวิทยาลัยมหิดล,,41
06017,มหาวิทยาลัยราชภัฎนครปฐม,,16
06018,มหาวิทยาลัยราชภัฎพระนครศรีอยุธยา,,1
06019,มหาวิทยาลัยราชภัฏกาญจนบุรี,,15
06020,มหาวิทยาลัยราชภัฏกาฬสินธุ์,,0
06021,มหาวิทยาลัยราชภัฏกำแพงเพชร,,16
06022,มหาวิทยาลัยราชภัฏจันทรเกษม,,26
06023,มหาวิทยาลัยราชภัฏชัยภูมิ,,13
06024,มหาวิทยาลัยราชภัฏธนบุรี,,22
06025,มหาวิทยาลัยราชภัฏนครปฐม,,1
06026,มหาวิทยาลัยราชภัฏนครราชสีมา,,16
06027,มหาวิทยาลัยราชภัฏนครศรีธรรมราช,,21
06028,มหาวิทยาลัยราชภัฏนครสวรรค์,,11
06029,มหาวิทยาลัยราชภัฏบุรีรัมย์,,34
06030,มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,,26
06031,มหาวิทยาลัยราชภัฏพระนคร,,13
06032,มหาวิทยาลัยราชภัฏพระนครศรีอยุธยา,,14
06033,มหาวิทยาลัยราชภัฏพิบูลสงคราม,,15
06034,มหาวิทยาลัยราชภัฏภูเก็ต,,16
06035,มหาวิทยาลัยราชภัฏมหาสารคาม,,12
06036,มหาวิทยาลัยราชภัฏยะลา,,18
06037,มหาวิทยาลัยราชภัฏราชนครินทร์,,18
06038,มหาวิทยาลัยราชภัฏรำไพพรรณี,,22
06039,มหาวิทยาลัยราชภัฏร้อยเอ็ด,,14
06040,มหาวิทยาลัยราชภัฏลำปาง,,11
06041,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์,,21
06042,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์ จังหวัดปทุมธานี,,1
06043,มหาวิทยาลัยราชภัฏศรีสะเกษ,,8
06044,มหาวิทยาลัยราชภัฏสกลนคร,,14
06045,มหาวิทยาลัยราชภัฏสงขลา,,20
06046,มหาวิทยาลัยราชภัฏสวนสุนันทา,,26
06047,มหาวิทยาลัยราชภัฏสุราษฎร์ธานี,,16
06048,มหาวิทยาลัยราชภัฏสุรินทร์,,19
06049,มหาวิทยาลัยราชภัฏหมู่บ้านจอมบึง,,17
06050,มหาวิทยาลัยราชภัฏอุดรธานี,,16
06051,มหาวิทยาลัยราชภัฏอุตรดิตถ์,,28
06052,มหาวิทยาลัยราชภัฏอุบลราชธานี,,27
06053,มหาวิทยาลัยราชภัฏเชียงราย,,28
06054,มหาวิทยาลัยราชภัฏเชียงใหม่,,11
06055,มหาวิทยาลัยราชภัฏเทพสตรี,,25
06056,มหาวิทยาลัยราชภัฏเพชรบุรี,,17
06057,มหาวิทยาลัยราชภัฏเพชรบูรณ์,,12
06058,มหาวิทยาลัยราชภัฏเลย,,13
06059,มหาวิทยาลัยรามคำแหง,,74
06060,มหาวิทยาลัยวลัยลักษณ์,,21
06061,มหาวิทยาลัยศรีนครินทรวิโรฒ,,4
06062,มหาวิทยาลัยศิลปากร,,25
06063,มหาวิทยาลัยสงขลานครินทร์,,58
06064,มหาวิทยาลัยสวนดุสิต,,28
06065,มหาวิทยาลัยสุโขทัยธรรมาธิราช,,2
06066,มหาวิทยาลัยอุบลราชธานี,,19
06067,มหาวิทยาลัยเกษตรศาสตร์,,50
06068,มหาวิทยาลัยเชียงใหม่,,69
06069,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,,20
06070,มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,,2
06071,มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,,20
